path	action	exit	wall_ms	parse_ms	check_ms	emit_ms	assemble_ms	instantiate_ms
test/fixtures/compiler-types/traits/embedded-fields.hd	run --entry main	0	750	0.1	0.4	0.4	8.9	7.9
test/fixtures/compiler-types/traits/generic-bounds/dictionary-dispatch.hd	run --entry main	0	779	0.1	0.3	0.2	6.1	0.2
test/fixtures/compiler-types/traits/generic-bounds/missing-implementation.hd	check	1	456					
test/fixtures/compiler-types/traits/inherent-methods.hd	run --entry main	0	701	0.4	0.3	0.3	8.0	0.5
test/fixtures/compiler-types/traits/multiple-bounds/dictionary-forwarding.hd	run --entry main	0	855	1.8	1.4	0.3	14.5	1.9
test/fixtures/compiler-types/traits/multiple-bounds/duplicate-bound.hd	check	1	498					
test/fixtures/compiler-types/traits/mutable-errors/readonly-dynamic.hd	check	1	570					
test/fixtures/compiler-types/traits/mutable-errors/readonly-static.hd	check	1	421					
test/fixtures/compiler-types/traits/mutable-errors/signature-mismatch.hd	check	1	450					
test/fixtures/compiler-types/traits/mutable-receivers.hd	run --entry main	0	787	0.2	0.4	0.2	22.7	3.1
test/fixtures/compiler-types/traits/providers.hd	run --entry main	0	770	0.8	0.9	0.2	16.6	0.5
test/fixtures/compiler-types/traits/suspending-cancel.hd	check	0	609	0.1	0.6	0.4	12.9	1.4
test/fixtures/compiler-types/traits/suspending-defaults.hd	run --entry main	0	811	0.1	0.3	0.4	15.8	1.2
test/fixtures/compiler-types/traits/suspending-dispatch.hd	run --entry main	0	740	0.2	0.5	3.6	24.3	6.6
test/fixtures/compiler-types/tuples/heterogeneous/gc-storage.hd	run --entry main	0	772	0.3	0.9	1.8	23.9	0.3
test/fixtures/compiler-types/tuples/heterogeneous/identity-rejected.hd	check	1	436					
test/fixtures/compiler-types/tuples/heterogeneous/index-out-of-range.hd	check	1	451					
test/fixtures/compiler/00-case-program.hd	run --entry main	0	703	0.1	0.2	0.3	7.1	0.4
test/fixtures/compiler/03-checked-i32-arithmetic-traps-on-overflow.hd	run	1	705	0.1	0.4	0.1	10.9	0.3
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation-diagnostic.hd	check	1	428					
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation-division.hd	run	1	723	0.1	0.5	0.3	6.7	1.4
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation.hd	run --entry main	0	811	0.1	0.1	0.1	7.7	1.1
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-negative.hd	run	1	782	0.1	0.1	0.1	6.2	0.6
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-overflow.hd	run	1	784	0.1	0.1	0.1	8.0	0.3
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent.hd	run --entry main	0	696	0.1	0.1	0.1	5.8	1.1
test/fixtures/compiler/06-floating-power-uses-the-host-ieee-pow-primitive-diagnostic.hd	check	1	704					
test/fixtures/compiler/06-floating-power-uses-the-host-ieee-pow-primitive.hd	run --entry main	0	730	0.1	0.1	0.2	6.7	0.2
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-2.hd	check	1	371					
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-3.hd	check	1	493					
